op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,Pļavnieki,Keldiša 12,1,36,3,9,602,Panel,All amenities,35,56.9392107,24.2006683
For sale,Imanta,Imantas 2,2,50,3,5,LT proj.,Panel,All amenities,49000,56.9533366,24.02841445
For rent,Iļģuciems,Vaidelotes 11,2,45,2,5,Hrušč.,Brick,All amenities,380,56.96557365,24.0531387
For sale,centrs,Ganu 6,4,113,7,7,P. kara,Brick,All amenities,250000,56.96172495,24.10970559
For rent,centrs,Alūksnes 3,1,22,1,5,Renov.,Brick,All amenities,295,56.9695576,24.0993637
For rent,Āgenskalns,Kalnciema 22,3,66,1,2,P. kara,Wood,All amenities,640,56.94450585,24.07185881
For sale,Zolitūde,Gramzdas 21,4,90,5,9,119,Panel-Brick,All amenities,96000,56.9432218,24.00623187
For sale,Pļavnieki,Ulbrokas 5,1,41,2,9,M. ģim.,Brick-Panel,All amenities,32000,56.94243255,24.2154761
For sale,Mežciems,Biķernieku 124,3,85,3,4,Jaun.,Panel,All amenities,135000,56.9575184,24.2777127
For rent,Ziepniekkalns,Ozolciema 18,2,60,4,9,119,Panel,All amenities,270,56.89859735,24.0876708
For rent,centrs,Čaka 96,2,61,3,5,Jaun.,Brick-Panel,All amenities,780,56.9571813,24.13946679
For rent,centrs,Dzirnavu 50,1,16,1,6,P. kara,Masonry,All amenities,150,56.9421782,24.1272241
For sale,Ķengarags,Plostu 12,1,36,6,12,Čehu pr.,Brick,All amenities,37000,56.9048409,24.19643869
For sale,Sarkandaugava,Ziemeļu 3,3,71,1,6,Renov.,Brick-Panel,All amenities,75000,57.0025614,24.2835188
For sale,Pļavnieki,Lubānas 143,3,100,2,2,Jaun.,Panel,All amenities,136000,56.9382249,24.2268933
For sale,Pļavnieki,Dravnieku 13,2,51,6,9,602,Panel,All amenities,56000,56.94404435,24.21522315
For rent,Daugavgrīva,Zvīņu 6,2,46,1,5,Specpr.,Brick,All amenities,230,57.0374654,24.0247952
For rent,Āgenskalns,Slokas 28,1,20,1,1,Renov.,Masonry,All amenities,25,56.9401616,24.0896935
For sale,Vecrīga,Republikas laukums 3,4,160,3,7,Jaun.,Brick,All amenities,381000,56.9552522,24.09999913
For sale,centrs,Tomsona 42,2,44,4,5,Hrušč.,Brick,All amenities,68000,56.96867625,24.13004095
For rent,centrs,Alauksta 5,2,54,5,6,P. kara,Masonry,All amenities,310,56.9614459,24.14855929
For sale,Vecmīlgrāvis,Baltāsbaznīcas 36,2,37,3,5,103,Brick-Panel,All amenities,36000,57.03675675,24.09269033
For sale,Purvciems,Andromedas g. 7,3,60,1,5,LT proj.,Panel,All amenities,49000,56.9604259,24.201209
For sale,Ziepniekkalns,Zaļenieku 18,4,126,1,6,Jaun.,Masonry,All amenities,150000,56.9093617,24.09647242
Buying,Sarkandaugava,,2,,,,,,,,46.3144754,11.0480288
For sale,Zolitūde,Apuzes 37c,5,125,2,2,Jaun.,Brick,All amenities,159000,56.9371904,24.0257892
For sale,Daugavgrīva,Parādes 20a,2,42,4,5,Specpr.,Brick,All amenities,34500,57.0397183,24.0260068
Buying,Pļavnieki,,2,,,,,,,,46.3144754,11.0480288
For sale,Mežciems,Hipokrāta 9,2,58,4,16,104,Panel-Brick,All amenities,67900,56.96758455,24.23807802
For rent,Imanta,Auru 5a,1,27,4,5,LT proj.,Panel,All amenities,270,56.95987425,24.00746281
For sale,Purvciems,Pūces 19,1,26.4,1,5,Jaun.,Masonry,All amenities,51000,56.95632235,24.18597856
For rent,centrs,Stabu 70,2,50,2,6,P. kara,Brick,All amenities,26,56.952235,24.1366039
For sale,Bolderāja,Platā 30,1,34,5,5,103,Brick-Panel,All amenities,27000,46.770384,11.6396833
For sale,Ķengarags,Višķu 19,2,45,4,5,LT proj.,Panel,All amenities,36500,56.90032605,24.2142654
For sale,centrs,Birznieka-Upīša 10,3,57,6,6,Renov.,Masonry,All amenities,136800,56.9488745,24.12660274
For sale,Ķengarags,Maskavas 216,1,34,1,9,467,Panel,All amenities,31500,56.9256893,24.16736844
For rent,Maskavas priekšpilsēta,M. Krasta 37,2,45,1,2,P. kara,Brick,All amenities,220,56.9394081,24.12570978
For sale,Āgenskalns,Dzirciema 31,2,54,2,5,Jaun.,Brick,All amenities,97133,56.9556303,24.05211646
For sale,Purvciems,Ilūkstes 107 k-2,3,57,1,9,467,Panel,All amenities,59800,56.95408345,24.19503663
For rent,Ķīpsala,Balasta d. 70,2,77,3,3,Jaun.,Masonry,All amenities,850,56.9489344,24.0882804
For sale,Pļavnieki,Ulbrokas 7,2,61,6,12,104,Brick-Panel,All amenities,56000,56.9435433,24.2160183
For rent,centrs,Brīvības 161,1,38,1,5,Renov.,Masonry,All amenities,430,56.9667358,24.14563511
For sale,Jugla,Ciemupes 1,4,172,9,11,Jaun.,Masonry,All amenities,200000,56.9879953,24.24610357
For rent,Pļavnieki,Dzeņu 1,2,50,5,9,602,Panel,All amenities,40,56.9408074,24.20878051
For sale,Vecmīlgrāvis,Sarmas 7,3,65,5,9,602,Panel,All amenities,69000,57.03912275,24.10036159
For sale,Mežciems,Hipokrāta 62,2,50,7,9,602,Panel,All amenities,51000,56.9580423,24.2381625
For sale,Āgenskalns,Kalnciema 62,1,22,1,2,P. kara,Wood,Partial amenities,15900,56.94035005,24.0571659
For sale,Ķengarags,Maskavas 268/7,3,59,5,5,LT proj.,Panel,All amenities,47000,56.9445851,24.1127805
For rent,Iļģuciems,Spilves 21,2,50,6,9,Jaun.,Panel,All amenities,290,56.97354585,24.0591831
For rent,Purvciems,Stirnu 19,3,45,5,5,LT proj.,Panel,All amenities,330,56.95682185,24.18164485
For sale,Vecmīlgrāvis,Melīdas 56,3,67,1,5,LT proj.,Panel,All amenities,39900,57.0326345,24.1122608
For sale,Ķengarags,Aglonas 16,3,60,4,5,Hrušč.,Brick,All amenities,56300,56.9101647,24.18655327
For sale,Āgenskalns,Dzirciema 31,2,54,2,5,Jaun.,Brick,All amenities,97133,56.9556303,24.05211646
For sale,Sarkandaugava,Limbažu 9,2,40,4,5,Hrušč.,Brick,All amenities,57000,57.0003061,24.1247948
For sale,Zolitūde,Anniņmuižas 13,2,76.9,5,12,Jaun.,Brick-Panel,All amenities,97000,56.94568225,24.01468218
For sale,centrs,Nītaures 3,3,120,4,8,Jaun.,Panel,All amenities,219000,56.9636145,24.12350991
For sale,Grīziņkalns,Asara 12,2,45,1,5,Renov.,Masonry,All amenities,90000,56.9553833,24.1488881
For sale,centrs,Bruņinieku 87,5,146,5,2,P. kara,Masonry,All amenities,204400,56.9514796,24.1411797
For rent,Āgenskalns,Nometņu 62,1,23,1,1,Priv. m.,Masonry,All amenities,260,56.9366902,24.07133399
For sale,Grīziņkalns,Asara 12,3,60,4,5,Renov.,Masonry,All amenities,125000,56.9553833,24.1488881
For sale,Maskavas priekšpilsēta,Ludzas 55,2,40,2,4,P. kara,Brick,All amenities,26500,56.9409349,24.14798076
For sale,centrs,Katrīnas d. 17,7,169,2,6,Jaun.,Panel-Brick,All amenities,180000,56.9716816,24.1021951
For sale,Grīziņkalns,Asara 12,2,37,4,5,Renov.,Masonry,All amenities,74000,56.9553833,24.1488881
For rent,Imanta,Jūrmalas g. 109,3,89,2,4,Jaun.,Masonry,All amenities,450,56.952975,24.0166971
For sale,Zolitūde,Gramzdas 82,4,130.6,4,4,Jaun.,Masonry,All amenities,190000,56.9408962,24.00410684
For sale,centrs,Elizabetes 22,4,91,6,6,Renov.,Brick,All amenities,256000,56.9497325,24.1219203
For sale,Zolitūde,Anniņmuižas 13,3,149,12,12,Jaun.,Brick-Panel,All amenities,260000,56.94568225,24.01468218
For rent,centrs,Nītaures 3,2,94,2,6,Jaun.,Panel,All amenities,770,56.9636145,24.12350991
For rent,Zolitūde,Augšzemes 5,2,57,2,4,Jaun.,Panel,All amenities,470,56.94414285,24.02350543
For sale,Ziepniekkalns,Pīpeņu 10,2,57,2,5,LT proj.,Panel,All amenities,46000,56.91064295,24.09951606
For sale,centrs,Lienes 9,1,35,3,5,P. kara,Masonry,Partial amenities,33000,56.9537372,24.1465944
For rent,Ziepniekkalns,Ozolciema 46,1,15,9,9,602,Panel,All amenities,120,56.90143645,24.0987142
For sale,Dzegužkalns,Slokas 86,3,68.1,2,3,Jaun.,Panel,All amenities,125600,56.9604512,24.05590486
For sale,centrs,Bruņinieku 12,4,112,2,5,P. kara,Masonry,All amenities,124450,56.9583184,24.1272766
For rent,Zolitūde,Anniņmuižas 7,2,64,12,13,Jaun.,Panel,All amenities,500,56.94666195,24.01301965
Renting,Ziepniekkalns,Bauskas,2,40,1,2,P. kara,Brick-Panel,Partial amenities,,56.9197557,24.098147
For sale,Pļavnieki,Salnas 11,3,64,3,9,602,Panel,All amenities,65000,56.9427474,24.2246202
For rent,centrs,Ģertrūdes 108,2,40,3,3,P. kara,Masonry,All amenities,25,56.9474336,24.14030646
For sale,Čiekurkalns,Rusova 9,3,88,7,7,Jaun.,Panel-Brick,All amenities,135000,56.98909155,24.17033443
For sale,Āgenskalns,Ormaņu 27,2,42,2,2,P. kara,Wood,All amenities,39000,56.9393754,24.0705981
For sale,centrs,Barona 55,5,192,2,6,Specpr.,Brick-Panel,All amenities,260000,56.9565335,24.1316134
For rent,Maskavas priekšpilsēta,Maskavas 146,1,15,1,1,Renov.,Panel-Brick,All amenities,190,56.8597884,24.3083417
For sale,Imanta,Rigondas g. 3,3,73,3,12,Čehu pr.,Brick-Panel,All amenities,87600,56.9648157,24.0190534
For sale,Āgenskalns,Kuldīgas 45a,2,57,3,3,P. kara,Wood,Without amenities,22000,56.9511923,24.0659141
For sale,Jugla,Murjāņu 20,4,144,2,3,Jaun.,Brick,All amenities,195000,56.9833122,24.23848454
For sale,Āgenskalns,Kuldīgas 32,2,49,3,5,P. kara,Masonry,All amenities,65000,56.9474705,24.0604076
For rent,centrs,Dzirnavu 31,3,82,7,7,P. kara,Masonry,All amenities,900,56.9592805,24.1128099
For sale,centrs,Ausekļa 14,2,71,3,6,Jaun.,Masonry,All amenities,265000,56.9615789,24.10047292
For sale,centrs,Miera 93,4,80,2,7,Jaun.,Masonry,All amenities,145000,56.9704076,24.1377874
For sale,Purvciems,Ieriķu 29,2,49,4,5,Hrušč.,Panel,All amenities,36900,56.96659085,24.1779225
For sale,centrs,Tallinas 52,2,60,5,5,P. kara,Masonry,All amenities,85800,56.9600138,24.14174677
For sale,centrs,Brīvības iela 93,5,111.2,5,6,P. kara,Masonry,All amenities,139000,56.960897,24.1318215
For sale,Dārzciems,Zeltiņu 22,3,63,8,9,602,Panel,All amenities,49900,56.9466234,24.17011483
For sale,Pļavnieki,Jasmuižas 10,1,33,1,9,602,Panel,All amenities,36500,56.9362783,24.2110749
For rent,centrs,Elizabetes 37,1,24,4,4,P. kara,Masonry,All amenities,125,56.957595,24.1119264
For rent,Zolitūde,Zolitūdes 46,3,78,5,9,119,Panel,All amenities,325,56.94224055,24.00608458
For sale,Vecmīlgrāvis,Melīdas 6c,3,61,4,9,467,Panel,All amenities,54000,57.0311238,24.10940244
For rent,Vecmīlgrāvis,Dombrovska 75,2,56,3,5,103,Brick-Panel,All amenities,280,57.03684145,24.09501682
For rent,centrs,Katrīnas d. 22,2,42,1,4,Hrušč.,Brick,All amenities,400,56.9716816,24.1021951
Buying,Purvciems,,2,,,,,,,,46.3144754,11.0480288
For sale,Āgenskalns,Kuldīgas 10,1,21,1,2,P. kara,Wood,Partial amenities,17700,56.9517628,24.06734871
For sale,Dzegužkalns,Morica 20b,3,69,5,5,LT proj.,Panel-Brick,All amenities,52000,56.95337965,24.0470011
For sale,Purvciems,Marsa g. 1,2,50,5,5,LT proj.,Panel,All amenities,40500,56.9518384,24.1999196
For sale,Ziepniekkalns,Ozolciema 12/4,4,93,9,10,119,Panel,All amenities,92000,56.8990307,24.0785989
For sale,Āgenskalns,Dzirciema 31,2,59,4,5,Jaun.,Brick,All amenities,105700,56.9556303,24.05211646
For sale,centrs,Maskavas 84,2,48,6,6,P. kara,Masonry,Partial amenities,37400,56.8597884,24.3083417
Buying,Daugavgrīva,,7,123,12,34,,,,,46.3144754,11.0480288
For sale,centrs,Marijas 15,1,22,6,6,P. kara,Masonry,All amenities,41500,56.95029005,24.124068
For sale,Purvciems,Deglava 104,4,90,2,9,119,Panel,All amenities,106500,56.9480278,24.18849045
For sale,Bieriņi,Dāliju 8a,1,25,1,2,P. kara,Wood,All amenities,33000,56.9214421,24.0459093
For sale,Imanta,Slokas 191,2,51,4,5,Specpr.,Panel-Brick,All amenities,49000,56.96321085,24.01765988
For sale,centrs,Strēlnieku 19,3,79,1,3,P. kara,Masonry,All amenities,135000,56.96130605,24.11058219
For sale,Pļavnieki,Ilūkstes 18,2,50,3,9,602,Panel,All amenities,45000,56.938833,24.1962186
For rent,Grīziņkalns,Sapieru 1,1,25,3,3,P. kara,Wood,All amenities,150,56.9635222,24.15270787
For sale,centrs,Matīsa 17,2,52.2,5,5,P. kara,Masonry,All amenities,81500,56.95772985,24.13231463
For sale,Purvciems,Staiceles 19,3,58.8,1,5,LT proj.,Panel,All amenities,59595,56.95720875,24.17357628
For sale,Teika,Brīvības gatve 281,5,114,1,5,Specpr.,Brick,All amenities,89000,56.9802504,24.1887502
For sale,Dārzciems,Lubānas 56,3,65,4,9,467,Panel,All amenities,53700,56.93144315,24.1757569
For rent,Imanta,Anniņmuižas bulvāris 43,3,80,17,24,Jaun.,Masonry,All amenities,650,56.9590306,24.01388704
For rent,centrs,Cēsu 5,3,70,4,5,P. kara,Brick,All amenities,550,56.9642651,24.1370086
For sale,Āgenskalns,Daugavgrīvas 68a,2,66,2,5,Staļina,Masonry,All amenities,75000,56.9559909,24.0695827
For rent,VEF,Ropažu 5,3,67,1,5,LT proj.,Brick,All amenities,540,56.9754428,24.1697061
For rent,Teika,Ropažu 5,3,67,1,5,LT proj.,Brick,All amenities,540,56.9754428,24.1697061
For sale,centrs,Valdemāra 76,3,80,2,9,Specpr.,Brick,All amenities,105000,56.96885245,24.13257604
For sale,Iļģuciems,Skujenes 13,2,45,2,5,LT proj.,Brick-Panel,All amenities,46500,56.96306045,24.04793638
For sale,Čiekurkalns,Čiekurkalna 8. šķ l. 1b,2,35,1,1,Specpr.,Brick-Panel,All amenities,34000,NaN,NaN
For sale,Mežaparks,Viestura pr. 59,2,47,9,10,Specpr.,Brick,All amenities,49000,56.9984366,24.1328951
For sale,Ķengarags,Dubnas 8,1,42,1,12,M. ģim.,Brick,All amenities,29500,56.90431635,24.19765244
For sale,Dārzciems,Preiļu 4,3,71,2,5,Specpr.,Masonry,All amenities,65000,56.9370582,24.1880804
For rent,centrs,Merķeļa 1,1,24,4,6,P. kara,Brick,All amenities,100,56.9482351,24.1198579
For sale,Āgenskalns,Gardenes 9,3,54,2,5,Specpr.,Brick,All amenities,50000,56.9273556,24.07368867
For sale,Ziepniekkalns,Valdeķu 54,1,32,9,9,602,Panel-Brick,All amenities,36000,56.9094064,24.0954157
For sale,Dzegužkalns,Iecavas 1,2,52,1,5,Jaun.,Brick-Panel,All amenities,86350,56.9555587,24.05068003
For sale,Dzegužkalns,Iecavas 1,2,59,2,5,Jaun.,Brick-Panel,All amenities,116560,56.9555587,24.05068003
For sale,Mežaparks,Viestura pr. 67,3,55,1,5,Specpr.,Brick,All amenities,51000,NaN,NaN
For rent,Šampēteris-Pleskodāle,Irlavas 34,2,61,3,3,Jaun.,Masonry,All amenities,450,56.9410497,24.02997267
For sale,Teika,Caunes 11,5,180,2,3,Jaun.,Brick-Panel,All amenities,205000,56.98105865,24.18990056
For sale,Dzegužkalns,Iecavas 1,3,90,1,5,Jaun.,Brick-Panel,All amenities,128000,56.9555587,24.05068003
For sale,Sarkandaugava,Viestura pr. 67,3,55,1,5,Specpr.,Brick,All amenities,51000,NaN,NaN
For rent,centrs,Sadovņikova 56,2,30,2,5,Jaun.,Masonry,All amenities,25,56.9408555,24.1364923
For sale,Vecmīlgrāvis,Kāvu 4,2,52,1,5,LT proj.,Panel,All amenities,35000,57.0331188,24.10045933
For sale,Mežciems,Kaivas 50-45d,2,51,2,5,Jaun.,Brick-Panel,All amenities,65500,NaN,NaN
For sale,Pļavnieki,J. Vācieša 4,3,64,2,9,602,Panel,All amenities,55000,NaN,NaN
For rent,centrs,Ganību d. 14,1,31,2,2,P. kara,Brick,All amenities,290,56.9928319,24.1224521
For sale,Purvciems,Stirnu 47,2,38,2,5,LT proj.,Panel,All amenities,37000,56.96285935,24.18951308
For rent,centrs,Republikas laukums 3,2,55,5,8,Jaun.,Panel-Brick,All amenities,850,56.9552522,24.09999913
For sale,Imanta,Anniņmuižas bulvāris 28,2,53,1,16,Specpr.,Brick,All amenities,59500,56.96051595,24.02063585
For rent,Vecrīga,Laipu 5,3,94,3,4,P. kara,Brick,All amenities,850,56.9488525,24.1083779
For rent,Vecrīga,Kalēju 74,2,61,3,6,Jaun.,Panel-Brick,All amenities,44,56.945456,24.1115799
For rent,centrs,Matīsa 137,2,55,1,4,P. kara,Brick,Partial amenities,225,56.94852645,24.15192684
Change,,,3,,,,,,,,46.3144754,11.0480288
For rent,centrs,Barona 76,3,55,2,6,Renov.,Masonry,All amenities,630,56.95643795,24.13257298
For sale,centrs,Miera 86,2,43,1,5,P. kara,Masonry,All amenities,62000,56.9665763,24.1337504
For sale,Āgenskalns,Kuldīgas 32,2,53,3,4,P. kara,Masonry,All amenities,70000,56.9474705,24.0604076
For sale,centrs,Lāčplēša 54,2,70,6,6,P. kara,Brick,All amenities,89500,56.9513816,24.1289619
For sale,Mežciems,Kaivas 50-13d,4,75,5,5,Jaun.,Brick-Panel,All amenities,82830,NaN,NaN
For sale,Iļģuciems,Lilijas 28,3,106,6,6,Jaun.,Panel,All amenities,135000,56.9647715,24.06011622
For sale,Ķengarags,Kaņiera 18,1,36,9,12,M. ģim.,Brick,All amenities,35000,56.915016,24.16723301
For sale,centrs,Smilšu 14a,3,49,5,5,P. kara,Brick,All amenities,135520,56.9503591,24.1084129
Buying,Ķengarags,Prūšu 4c,2,,,,Jaun.,,,,56.9150027,24.1755593
For sale,centrs,Valdemāra 109,1,35,5,6,Specpr.,Brick-Panel,All amenities,58000,56.9658337,24.12880338
For sale,Sarkandaugava,Hāpsalas 1 k-1,3,64,6,8,Renov.,Brick-Panel,All amenities,77000,56.99858105,24.12191258
For sale,Ziepniekkalns,Līvciema 10,3,73,5,5,Specpr.,Panel,All amenities,86000,56.9108369,24.09825343
For rent,Purvciems,Mārcienas 1,2,56,8,9,119,Panel,All amenities,330,56.95486825,24.1676608
For rent,Imanta,Anniņmuižas bulvāris 41,1,46,5,24,Jaun.,Panel-Brick,All amenities,390,56.95959205,24.01475225
For sale,centrs,Dzirnavu 115,3,73,2,4,P. kara,Masonry,All amenities,125000,56.9421782,24.1272241
For rent,centrs,Vesetas 30,2,42,4,6,Hrušč.,Brick,All amenities,380,56.97172205,24.1301309
For rent,Ziepniekkalns,Sērenes 4,2,53,6,16,104,Panel,All amenities,340,56.90479835,24.08401527
For rent,Āgenskalns,Pilsoņu 18,1,15,1,1,Renov.,Brick,All amenities,35,56.9319092,24.0700156
For sale,centrs,Vidus 11,2,59,3,5,Renov.,Masonry,All amenities,154000,56.9615303,24.1029166
For rent,Mežciems,Kaivas 50-4,1,45,5,5,Jaun.,Brick-Panel,All amenities,340,56.9541725,24.2443253
For sale,centrs,Valdemāra 143,4,69,2,5,Hrušč.,Brick,All amenities,93000,56.97070465,24.13206884
Buying,Purvciems,,2,,,,,,,,46.3144754,11.0480288
For rent,Pļavnieki,Jasmuižas 18 k 1,2,72,1,10,Jaun.,Panel-Brick,All amenities,450,NaN,NaN
For sale,Zolitūde,Ruses 3,3,75,2,9,119,Panel-Brick,All amenities,63500,56.9484028,24.00206886
For rent,centrs,Lāčplēša 44/46,2,45,4,4,Renov.,Brick-Panel,All amenities,420,56.95248815,24.12776921
For sale,Vecrīga,13. janvāra 21,3,91,2,6,Jaun.,Panel-Brick,All amenities,198000,56.9443781,24.1105085
For sale,Ziepniekkalns,Dignājas 3,2,63,3,6,Jaun.,Masonry,All amenities,81900,56.912781,24.11919145
For sale,centrs,Ģertrūdes 62,6,150,6,7,P. kara,Masonry,All amenities,219000,56.9512368,24.1334549
For sale,Teika,Bērzpils 3,2,42,4,5,Hrušč.,Brick-Panel,All amenities,65000,56.9789092,24.1716197
For rent,centrs,Republikas laukums 3,5,120,5,6,Jaun.,Masonry,All amenities,1000,56.9552522,24.09999913
For rent,Ķengarags,Maskavas 261,1,22,3,5,Renov.,Brick,All amenities,280,56.8597884,24.3083417
For rent,centrs,Rūpniecības 16,2,60,3,5,P. kara,Masonry,All amenities,500,56.9606867,24.1035085
For rent,Vecrīga,Kalēju 14,4,105,5,5,P. kara,Brick,All amenities,49,56.9483908,24.11070826
For rent,Mežciems,Kaivas 50,1,32,1,5,Jaun.,Panel,All amenities,330,56.95546705,24.24181865
For sale,centrs,Republikas laukums 3,2,63,2,7,Jaun.,Masonry,All amenities,120000,56.9552522,24.09999913
For sale,centrs,Stabu 95,2,60,3,5,P. kara,Masonry,All amenities,59000,56.95048825,24.14085365
For sale,Ķengarags,Maskavas 268/7,3,59,4,5,LT proj.,Panel,All amenities,59500,56.9445851,24.1127805
For rent,Pļavnieki,Dravnieku 6,2,50,7,9,602,Panel,All amenities,220,56.94383305,24.21080675
For rent,centrs,Republikas laukums 3,3,100,5,7,Jaun.,Masonry,All amenities,1000,56.9552522,24.09999913
For rent,Vecrīga,Vāgnera 12,1,33,2,4,P. kara,Masonry,All amenities,35,56.94881585,24.11147386
For sale,Purvciems,Burtnieku 33,1,15,5,5,Specpr.,Brick-Panel,All amenities,12900,56.9685701,24.1819824
Buying,,,2,,,,,,All amenities,,46.3144754,11.0480288
For sale,Ķengarags,Lubānas 35,2,43,1,3,Hrušč.,Brick,All amenities,44300,56.93312415,24.16634035
For sale,centrs,Dzirnavu 60a,3,93,4,7,Renov.,Brick,All amenities,230000,56.9542026,24.1195654
For sale,centrs,Stabu 29,3,72,4,7,P. kara,Masonry,All amenities,159000,56.9564335,24.1285032
For sale,Bolderāja,Lielupes 68,2,49,4,5,LT proj.,Panel,All amenities,34000,57.03099005,24.0574072
For sale,Jugla,Silciema 15/1,2,43,2,5,LT proj.,Panel,All amenities,40000,56.9826782,24.2406588
For sale,Pļavnieki,Zemes 8,1,31,8,9,602,Panel,All amenities,36000,56.94139985,24.20111632
For sale,Šampēteris-Pleskodāle,Irlavas 20,4,152,4,6,Specpr.,Brick-Panel,All amenities,195000,56.9394231,24.03594891
For sale,Mangaļi,Ezera 13,1,27,2,2,P. kara,Brick,Partial amenities,16000,57.02046865,24.12971994
For sale,Zolitūde,Zolitūdes 46,4,91,7,9,119,Panel,All amenities,83000,56.94224055,24.00608458
For sale,Vecmīlgrāvis,Meldru 12,2,42,2,4,Hrušč.,Brick,All amenities,27500,57.0301906,24.09970765
Renting,Ziepniekkalns,,1,,,,,,All amenities,,46.3144754,11.0480288
For sale,Jaunciems,Jaunciema g. 167,2,44,2,2,Specpr.,Wood,All amenities,11790,57.034118,24.1267927
For rent,centrs,Pumpura 3a,4,120,1,3,Renov.,Masonry,All amenities,1350,56.9566456,24.1107022
Buying,centrs,,,,,,,,,,46.3144754,11.0480288
Buying,Zolitūde,,,,,,,,,,46.3144754,11.0480288
Buying,Imanta,,,,,,,,,,46.3144754,11.0480288
For sale,Mežciems,Kaivas 50/2,4,93,2,5,Jaun.,Panel,All amenities,112000,56.9541725,24.2443253
For rent,centrs,Čaka 117/1,3,71,6,6,Renov.,Masonry,All amenities,520,56.9626863,24.1480584
For rent,centrs,Čaka 117,3,75,4,6,Renov.,Masonry,All amenities,520,56.9590876,24.14123176
For rent,centrs,Avotu 11,1,41,1,6,P. kara,Masonry,All amenities,320,56.9506867,24.1291347
For rent,centrs,Ģertrūdes 9,3,150,8,9,P. kara,Masonry,All amenities,1100,56.958294,24.1213478
For rent,centrs,Matīsa 18,2,40,2,5,P. kara,Masonry,All amenities,350,56.95745595,24.13195583
For rent,Sarkandaugava,Duntes 48,1,34,3,6,P. kara,Masonry,Partial amenities,145,56.99189845,24.12766692
For sale,centrs,Hospitāļu 22,5,138,4,4,P. kara,Masonry,All amenities,168000,56.97311445,24.13780802
For rent,centrs,Barona 76,3,67,3,6,Renov.,Masonry,All amenities,760,56.95643795,24.13257298
For rent,centrs,Zvaigžņu 24,2,30,4,6,Renov.,Masonry,All amenities,30,56.9607411,24.1497716
For sale,centrs,Hospitāļu 33a,3,63,3,3,P. kara,Masonry,All amenities,76000,56.9729912,24.13725356
For sale,Āgenskalns,Kuldīgas 32,2,53,4,4,P. kara,Masonry,All amenities,71000,56.9474705,24.0604076
For sale,Pļavnieki,Jasmuižas 8,4,80,2,9,467,Panel,All amenities,68800,56.9365587,24.20977764
For sale,centrs,Valdemāra 69,2,33,3,5,Renov.,Masonry,All amenities,61500,56.9620417,24.1224439
For sale,Ķīpsala,Ogļu 32,3,80,2,4,Renov.,Masonry,All amenities,260000,56.9608406,24.08176479
For rent,Ķīpsala,Ogļu 32,3,80,2,4,Renov.,Masonry,All amenities,1200,56.9608406,24.08176479
For sale,Ķīpsala,Ogļu 32,3,79,1,4,P. kara,Masonry,All amenities,265000,56.9608406,24.08176479
For sale,Ķīpsala,Ogļu 32,3,79,1,4,P. kara,Masonry,All amenities,260000,56.9608406,24.08176479
For rent,Āgenskalns,Rododendru 14,1,31,3,5,Hrušč.,Brick,All amenities,270,56.9482215,24.04980085
For rent,centrs,Hospitāļu 3,3,95,1,1,P. kara,Brick,All amenities,40,56.9694194,24.13457735
For sale,Klīversala,St. Rusas 8,2,62,5,5,Jaun.,Masonry,All amenities,129000,56.9429655,24.0959221
For sale,centrs,Blaumaņa 34,4,64,1,3,Renov.,Masonry,All amenities,99200,56.9518761,24.1257094
For sale,Jugla,Juglas 41,2,46,1,5,LT proj.,Panel,All amenities,51000,56.97962215,24.253031
For rent,Imanta,Anniņmuižas bulvāris 41,2,55,2,24,Specpr.,Brick-Panel,All amenities,450,56.95959205,24.01475225
For sale,Iļģuciems,Riekstu 7,1,35,1,5,M. ģim.,Panel,All amenities,28000,56.9683462,24.06964072
For sale,Dārzciems,Slāvu 23a,3,62,3,9,602,Panel,All amenities,57000,56.93115325,24.17756456
For rent,Šampēteris-Pleskodāle,Lielirbes 13,3,90,15,30,Jaun.,Brick-Panel,All amenities,650,56.9334996,24.0424848
For sale,Vecmīlgrāvis,Vecmīlgrāvja 9,2,41,2,4,Hrušč.,Brick,All amenities,36900,57.0294913,24.11707315
For sale,Iļģuciems,Buļļu 35 a,2,49,3,5,LT proj.,Panel,All amenities,44000,56.965298,24.0573721
For sale,Maskavas priekšpilsēta,Maskavas 69,2,45,5,5,P. kara,Masonry,All amenities,53900,56.8597884,24.3083417
For sale,Zolitūde,Zolitūdes 75 k-3,2,75,3,6,Jaun.,Brick-Panel,All amenities,115000,56.9413782,24.00449253
For sale,Āgenskalns,Melnsila 21,2,41.15,2,5,Hrušč.,Brick,All amenities,43000,56.9446708,24.0645472
For sale,Zolitūde,Ruses 3,3,75,4,9,119,Panel,All amenities,63000,56.9484028,24.00206886
For sale,Pļavnieki,Tīnūžu 14,3,62,8,9,602,Panel,All amenities,59000,56.93409355,24.20828846
For sale,Ķengarags,Ikšķiles 18,3,59,5,5,LT proj.,Panel,All amenities,59000,56.90349755,24.20955861
For sale,centrs,Dzirnavu 6,4,97,2,4,Renov.,Masonry,All amenities,250000,56.9612002,24.10753941
For sale,Purvciems,Ūnijas 76a,3,62,5,5,LT proj.,Panel,All amenities,68000,56.96065105,24.18333277
For rent,centrs,Skolas 36a,2,52,3,4,P. kara,Masonry,All amenities,700,48.2969502,-100.7081938
