op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,Purvciems,Nīcgales 36,3,82,4,5,Jaun.,Masonry,All amenities,98000,56.9505884,24.1734239
For rent,Pļavnieki,Ilūkstes 55,1,24,2,1,Priv. m.,Masonry,All amenities,220,56.9403842,24.19460057
For rent,Ziepniekkalns,Valdeķu 53,2,55,1,9,119,Panel,All amenities,330,56.90154795,24.09246741
For sale,Šķirotava,Krustpils 75,2,49,3,3,Specpr.,Brick,All amenities,35000,56.91205765,24.2063673
For sale,Dārzciems,Lubānas 56,3,61,7,9,467,Panel,All amenities,59500,56.93144315,24.1757569
For rent,Zolitūde,Ruses 3,2,58,2,9,119,Panel,All amenities,260,56.9484028,24.00206886
For rent,centrs,Elizabetes 10c,1,45,1,3,Jaun.,Masonry,All amenities,400,56.95752295,24.11061548
For sale,Sarkandaugava,Viestura pr. 95,2,43,5,11,Jaun.,Brick-Panel,All amenities,74900,NaN,NaN
For rent,Ziepniekkalns,Graudu 30,1,36,1,2,Renov.,Masonry,All amenities,250,56.9085595,24.09788139
For rent,centrs,Eksporta 8,5,150,1,2,Jaun.,Masonry,All amenities,1700,56.956763,24.0954531
For rent,Vecmīlgrāvis,Emmas 19,2,48,4,5,LT proj.,Panel,All amenities,220,57.0300401,24.11104944
For rent,Grīziņkalns,Terēzes 2,1,30,1,3,Staļina,Masonry,All amenities,270,56.9624743,24.1492892
For sale,Ziepniekkalns,Valdeķu 54,3,62,8,9,602,Panel,All amenities,75000,56.9094064,24.0954157
For sale,Pļavnieki,Dravnieku 13,3,64,7,9,602,Panel,All amenities,59000,56.94404435,24.21522315
For sale,Ķengarags,Maskavas 260,2,47,4,5,LT proj.,Panel,All amenities,41000,56.8597884,24.3083417
For rent,Daugavgrīva,Zvīņu 6,1,28,3,5,LT proj.,Brick,All amenities,220,57.0374654,24.0247952
For sale,centrs,Valdemāra 89,3,104,5,5,P. kara,Masonry,All amenities,130000,56.96383885,24.12586467
For sale,Sarkandaugava,Limbažu 4/1,2,45.6,5,5,Hrušč.,Panel,All amenities,51500,57.0004355,24.1207347
For sale,Imanta,Dumbrāja 18,3,68,3,4,Jaun.,Panel,All amenities,110000,56.95698695,24.01861276
For rent,Purvciems,Vējavas 12,1,39,4,5,M. ģim.,Brick-Panel,All amenities,230,56.95697915,24.16946466
For sale,centrs,Čaka 33,2,47,6,7,Renov.,Masonry,All amenities,95000,56.9521436,24.1276865
Buying,Pļavnieki,,,123,10,1,,,,,46.3144754,11.0480288
Buying,Ķengarags,,1,,21,12,,,Without amenities,,46.3144754,11.0480288
Buying,Imanta,,1,,99,9,,,,,46.3144754,11.0480288
Buying,Āgenskalns,,,8,88,8,,,,,46.3144754,11.0480288
Buying,centrs,,,9,9,9,,,,,46.3144754,11.0480288
For sale,Purvciems,Purvciema 26,3,79,9,9,119,Panel,All amenities,71000,56.95343085,24.1734659
For rent,Ziepniekkalns,Ozolciema 32,2,50,8,9,602,Panel,All amenities,270,56.89979805,24.09835015
For sale,Teika,Vidrižu 4,4,95,1,9,Specpr.,Brick-Panel,All amenities,85000,56.9788671,24.17748241
For rent,Ziepniekkalns,Vadakstes 1,2,47,1,1,Priv. m.,Masonry,All amenities,450,56.9135113,24.094025
For sale,Dzegužkalns,Jaunsaules 18,2,48,2,5,LT proj.,Panel,All amenities,42000,56.95476665,24.04792875
Buying,Ziepniekkalns,,7,,,,,,,,46.3144754,11.0480288
For rent,Pļavnieki,Ilūkstes 39,1,40,3,5,Specpr.,Brick-Panel,All amenities,300,56.93801605,24.19441854
Buying,Dārzciems,,2,,,,,,,,46.3144754,11.0480288
For rent,centrs,Grostonas 17,3,88,7,7,Jaun.,Brick-Panel,All amenities,990,56.96998705,24.12421088
For rent,centrs,Brīvības 115,1,28,2,3,P. kara,Masonry,All amenities,220,56.9629663,24.13562495
For rent,centrs,Sapieru 3b,1,21,3,5,Jaun.,Panel,All amenities,340,56.9630577,24.1531056
For sale,Pļavnieki,Jasmuižas 13,4,75,3,8,467,Panel,All amenities,69950,56.9367253,24.2129281
For rent,Pļavnieki,Jasmuižas 24,1,22,1,3,Jaun.,Panel,All amenities,235,56.93702645,24.21531651
For rent,centrs,Tērbatas 78,1,33,2,5,P. kara,Masonry,All amenities,315,56.9611541,24.1376555
For sale,Ziepniekkalns,Bērzlapu 2,2,57,3,16,104,Panel,All amenities,70000,56.9052096,24.08455345
For sale,Čiekurkalns,Čiekurkalna 5. šķ l. 1,1,29.6,2,2,Priv. m.,Wood,All amenities,22000,NaN,NaN
For rent,Zolitūde,Gramzdas 80,2,55,1,4,Jaun.,Panel,All amenities,500,56.94145735,24.00301884
For rent,Iļģuciems,Baltā 17,3,62,1,5,LT proj.,Panel,All amenities,350,56.9699771,24.06554101
For sale,Mežciems,Celmu 5,2,50,3,5,LT proj.,Panel,All amenities,49800,56.9736358,24.23353092
For sale,centrs,Brīvības iela 136,2,43,1,5,P. kara,Masonry,All amenities,48000,56.9636061,24.1388658
For rent,Ķengarags,Maskavas 381/7,2,49,3,3,Staļina,Brick,All amenities,240,56.9445851,24.1127805
For rent,Mežciems,Hipokrāta 41,1,32,8,9,602,Panel,All amenities,260,56.9596666,24.2364783
For rent,Purvciems,Andromedas g. 12,2,51,3,5,LT proj.,Panel,All amenities,300,56.9604259,24.201209
For rent,Āgenskalns,Mūkusalas 29,2,79,4,4,Jaun.,Masonry,All amenities,850,56.93693955,24.10193236
For rent,Āgenskalns,Talsu 9,2,44,3,6,P. kara,Masonry,Partial amenities,280,56.9383464,24.071392
For rent,Āgenskalns,Kalnciema 20,1,36,2,2,P. kara,Brick,All amenities,250,56.9384531,24.0507266
For rent,centrs,Sadovņikova 39a,1,30,3,5,P. kara,Brick,All amenities,260,56.9420237,24.13542024
For sale,Dārzciems,Stopiņu 12,1,37,1,1,Priv. m.,Brick,All amenities,22000,56.9485324,24.1730688
For rent,centrs,Vesetas 30,2,42,4,6,Hrušč.,Brick,All amenities,275,56.97172205,24.1301309
